Date,CS_Ann,CD_Ann,Enrgy_Ann,Fncl_Ann,HlthC_Ann,Indstrl_Ann,Mtrls_Ann,Tech_Ann,Util_Ann,Unempl,Jobs_Non-Farm (000s),Hrly_Wages,CPI_urban,PPI_Commodity,Imp_Exp _Indx,haircut_price,cardboard_pice
11/1/08,-0.1375,-0.3781,-0.3304,-0.527,-0.2594,-0.3728,-0.4063,-0.4164,-0.2971,0.068,135545,21.88,213.153,,120,138.02,277.4
12/1/08,-0.1968,-0.427,-0.338,-0.6054,-0.3266,-0.4255,-0.4566,-0.4317,-0.3149,0.073,134839,21.94,211.398,,114.5,138.07,276.4
1/1/09,-0.1609,-0.3446,-0.3971,-0.5691,-0.2546,-0.3977,-0.4508,-0.4184,-0.3039,0.078,134055,21.97,211.933,,113,137.74,276.2
2/1/09,-0.1945,-0.4208,-0.3486,-0.6897,-0.2209,-0.4565,-0.4887,-0.3808,-0.2745,0.083,133312,21.99,212.705,,113,137.83,273.4
3/1/09,-0.253,-0.4418,-0.4719,-0.7152,-0.2753,-0.5308,-0.5365,-0.3715,-0.3343,0.087,132512,22.06,212.495,,113.6,139.11,270.6
4/1/09,-0.2536,-0.3571,-0.4377,-0.6677,-0.2358,-0.5154,-0.4606,-0.3264,-0.3407,0.09,131817,22.09,212.709,,114.8,139.06,268.7
5/1/09,-0.2067,-0.2737,-0.4306,-0.5953,-0.2302,-0.4309,-0.3909,-0.2838,-0.3479,0.094,131475,22.1,213.022,,116.8,138.88,266.8
6/1/09,-0.1808,-0.2696,-0.3844,-0.4984,-0.1879,-0.406,-0.3769,-0.2923,-0.3478,0.095,131008,22.13,214.79,,120,138.86,266.3
7/1/09,-0.1241,-0.1693,-0.449,-0.3994,-0.1236,-0.3504,-0.3658,-0.1904,-0.3079,0.095,130668,22.18,214.726,,119.3,138.71,258.5
8/1/09,-0.104,-0.1059,-0.3084,-0.3877,-0.1263,-0.3009,-0.2662,-0.1125,-0.2418,0.096,130485,22.23,215.445,,121.1,138.86,259.5
9/1/09,-0.1315,-0.1647,-0.2924,-0.3356,-0.1301,-0.302,-0.2453,-0.1431,-0.2452,0.098,130244,22.26,215.861,,121.3,139.29,257
10/1/09,-0.0777,-0.0503,-0.1404,-0.2518,-0.0468,-0.1379,-0.0589,0.0554,-0.1191,0.1,130045,22.31,216.509,,122.3,139.4,257
11/1/09,0.0509,0.1831,0.0996,-0.0859,0.0529,0.0128,0.134,0.2361,-0.0322,0.099,130057,22.36,217.234,100.2,124.1,139.34,258.7
12/1/09,0.1446,0.4449,0.1934,0.2128,0.2403,0.2234,0.4506,0.4643,0.0074,0.099,129788,22.36,217.347,100.3,124.4,139.33,258.2
1/1/10,0.1048,0.383,0.2017,0.1588,0.1849,0.1943,0.4664,0.4929,0.0661,0.098,129790,22.41,217.488,101.2,125.9,139.5,257.6
2/1/10,0.2031,0.5352,0.2005,0.5856,0.205,0.364,0.4616,0.4425,0.0318,0.098,129698,22.45,217.281,101,125.8,139.18,258.6
